token,phonemes,ipa,syllables,stress,plosives,fricatives,energy,rhyme_family,archetype
Lawn,L A W N,lawn,1,1,0,0,0.1,awn,Gatswaai
Lawsuit,L A W S U I T,lawsuit,2,10,1,1,0.23,uit,Gatswaai
Lawyer,L A W Y E R,lawjer,2,10,0,0,0.0,yer,Gatswaai
Lax,L A X,lax,1,1,0,0,0.1,lax,Gatswaai
Layer,L EY E R,leɪer,1,1,0,0,0.1,yer,Gatswaai
Layman,L EY M A N,leɪman,2,10,0,0,0.0,man,Gatswaai
Leach,L E A K H,leakh,1,1,1,1,0.33,ach,Gatswaai
Lead,L E A D,lead,1,1,1,0,0.25,ead,Gatswaai
Leaf,L E A F,leaf,1,1,0,1,0.18,eaf,Gatswaai
League,L E A G U E,leaɡue,1,1,1,0,0.25,gue,Gatswaai
Leak,L E A K,leak,1,1,1,0,0.25,eak,Gatswaai
Lean,L E A N,lean,1,1,0,0,0.1,ean,Gatswaai
Leap,L E A P,leap,1,1,1,0,0.25,eap,Gatswaai
Learn,L E A R N,learn,1,1,0,0,0.1,arn,Gatswaai
Lease,L E A S E,lease,1,1,0,1,0.18,ase,Gatswaai
Least,L E A S T,least,1,1,1,1,0.33,ast,Gatswaai
Leave,L E A V E,leave,1,1,0,1,0.18,ave,Gatswaai
Lecture,L E K T U R E,lekture,2,10,2,0,0.3,ure,Gatswaai
Led,L E D,led,1,1,1,0,0.25,led,Gatswaai
Left,L E F T,left,1,1,1,1,0.33,eft,Gatswaai
Legacy,L E G A K Y,leɡakj,3,100,2,0,0.3,y,Gatswaai
Legal,L E G A L,leɡal,2,10,1,0,0.15,gal,Gatswaai
Legend,L E G E N D,leɡend,2,10,2,0,0.3,end,Gatswaai
Legion,L E G I O N,leɡion,2,10,1,0,0.15,ion,Gatswaai
Lend,L E N D,lend,1,1,1,0,0.25,end,Gatswaai
Length,L E N G T H,lenɡth,1,1,2,1,0.48,gth,Gatswaai
Lenient,L E N I E N T,lenient,2,10,1,0,0.15,ent,Gatswaai
Lens,L E N S,lens,1,1,0,1,0.18,ens,Gatswaai
Lent,L E N T,lent,1,1,1,0,0.25,ent,Gatswaai
Lesion,L E S I O N,lesion,2,10,0,1,0.08,sion,Gatswaai
Lethal,L E T H A L,lethal,2,10,1,1,0.23,hal,Gatswaai
Lethargy,L E T H A R G Y,letharɡj,3,100,2,1,0.38,y,Gatswaai
Letter,L E T T E R,letter,2,10,2,0,0.3,ter,Gatswaai
Level,L E V E L,level,2,10,0,1,0.08,vel,Gatswaai
Lever,L E V E R,lever,2,10,0,1,0.08,ver,Gatswaai
Levy,L E V Y,levj,2,10,0,1,0.08,y,Gatswaai
Lexicon,L E X I K O N,lexikon,3,100,1,0,0.15,con,Gatswaai
Liaison,L I EY S O N,lieɪson,2,10,0,1,0.08,son,Gatswaai
Libel,L I B E L,libel,2,10,1,0,0.15,bel,Gatswaai
Liberal,L I B E R A L,liberal,3,100,1,0,0.15,ral,Gatswaai
Liberate,L I B E R A T E,liberate,3,100,2,0,0.3,ate,Gatswaai
Liberty,L I B E R T Y,libertj,3,100,2,0,0.3,y,Gatswaai
Librate,L I B R A T E,librate,2,10,2,0,0.3,ate,Gatswaai
License,L I K E N S E,likense,2,10,1,1,0.23,nse,Gatswaai
Lieutenant,L I E U T E N A N T,lieutenant,3,100,2,0,0.3,ant,Gatswaai
Lifeline,L I F E L I N E,lifeline,3,100,0,1,0.08,ine,Gatswaai
Liftoff,L I F T O F F,liftoff,2,10,1,3,0.39,off,Gatswaai
Ligament,L I G A M E N T,liɡament,3,100,2,0,0.3,ent,Gatswaai
Light,L I G H T,liɡht,1,1,2,1,0.48,ght,Gatswaai
Likelihood,L I K E L I H O O D,likelihood,4,1000,2,1,0.38,ood,Gatswaai
Likewise,L I K E W I S E,likewise,3,100,1,1,0.23,ise,Gatswaai
Lilac,L I L A K,lilak,2,10,1,0,0.15,lac,Gatswaai
Limb,L I M B,limb,1,1,1,0,0.25,imb,Gatswaai
Lime,L I M E,lime,1,1,0,0,0.1,ime,Gatswaai
Limit,L I M I T,limit,2,10,1,0,0.15,mit,Gatswaai
Limp,L I M P,limp,1,1,1,0,0.25,imp,Gatswaai
Line,L I N E,line,1,1,0,0,0.1,ine,Gatswaai
Linear,L I N E A R,linear,2,10,0,0,0.0,ear,Gatswaai
Linger,L I N G E R,linɡer,2,10,1,0,0.15,ger,Gatswaai
Lining,L I N I N G,lininɡ,2,10,1,0,0.15,ing,Gatswaai
Link,L I N K,link,1,1,1,0,0.25,ink,Gatswaai
Lion,L I O N,lion,1,1,0,0,0.1,ion,Gatswaai
Lip,L I P,lip,1,1,1,0,0.25,lip,Gatswaai
Liquid,L I Q U I D,liquid,2,10,1,0,0.15,uid,Gatswaai
List,L I S T,list,1,1,1,1,0.33,ist,Gatswaai
Listen,L I S T E N,listen,2,10,1,1,0.23,ten,Gatswaai
Lithosphere,L I T H O S P H E R E,lithosphere,3,100,2,3,0.54,ere,Gatswaai
Lithe,L I T H E,lithe,1,1,1,1,0.33,the,Gatswaai
Little,L I T T L E,little,1,1,2,0,0.4,tle,Gatswaai
Live,L I V E,live,1,1,0,1,0.18,ive,Gatswaai
Load,L O A D,load,1,1,1,0,0.25,oad,Gatswaai
Loaf,L O A F,loaf,1,1,0,1,0.18,oaf,Gatswaai
Loan,L O A N,loan,1,1,0,0,0.1,oan,Gatswaai
Lobby,L O B B Y,lobbj,2,10,2,0,0.3,y,Gatswaai
Local,L O K A L,lokal,2,10,1,0,0.15,cal,Gatswaai
Locus,L O K U S,lokus,2,10,1,1,0.23,cus,Gatswaai
Lodge,L O D G E,lodɡe,1,1,2,0,0.4,dge,Gatswaai
Loft,L O F T,loft,1,1,1,1,0.33,oft,Gatswaai
Log,L O G,loɡ,1,1,1,0,0.25,log,Gatswaai
Logic,L O G I K,loɡik,2,10,2,0,0.3,gic,Gatswaai
Loin,L OY N,lɔɪn,1,1,0,0,0.1,oin,Gatswaai
Long,L O N G,lonɡ,1,1,1,0,0.25,ong,Gatswaai
Longshoreman,L O N G SH O R E M A N,lonɡʃoreman,4,1000,1,2,0.31,man,Gatswaai
Look,L O O K,look,1,1,1,0,0.25,ook,Gatswaai
Loom,L O O M,loom,1,1,0,0,0.1,oom,Gatswaai
Loop,L O O P,loop,1,1,1,0,0.25,oop,Gatswaai
Loose,L O O S E,loose,1,1,0,1,0.18,ose,Gatswaai
Loosen,L O O S E N,loosen,2,10,0,1,0.08,sen,Gatswaai
Lor,L O R,lor,1,1,0,0,0.1,lor,Gatswaai
Lord,L O R D,lord,1,1,1,0,0.25,ord,Gatswaai
Lorn,L O R N,lorn,1,1,0,0,0.1,orn,Gatswaai
Lose,L O S E,lose,1,1,0,1,0.18,ose,Gatswaai
Loss,L O S S,loss,1,1,0,2,0.26,oss,Gatswaai
Lost,L O S T,lost,1,1,1,1,0.33,ost,Gatswaai
Lot,L O T,lot,1,1,1,0,0.25,lot,Gatswaai
Lotion,L O T I O N,lotion,2,10,1,0,0.15,tion,Gatswaai
Lottery,L O T T E R Y,lotterj,3,100,2,0,0.3,y,Gatswaai
Loud,L AW D,laʊd,1,1,1,0,0.25,oud,Gatswaai
Lounge,L AW N G E,laʊnɡe,1,1,1,0,0.25,nge,Gatswaai
Lousy,L AW S Y,laʊsj,2,10,0,1,0.08,y,Gatswaai
Lover,L O V E R,lover,2,10,0,1,0.08,ver,Gatswaai
Low,L AW,laʊ,1,1,0,0,0.1,low,Gatswaai
Lower,L AW E R,laʊer,2,10,0,0,0.0,wer,Gatswaai
Lowly,L AW L Y,laʊlj,2,10,0,0,0.0,y,Gatswaai
Loyal,L OY A L,lɔɪal,1,1,0,0,0.1,yal,Gatswaai
Lucid,L U K I D,lukid,2,10,2,0,0.3,cid,Gatswaai
Luck,L U K K,lukk,1,1,2,0,0.4,uck,Gatswaai
Lull,L U L L,lull,1,1,0,0,0.1,ull,Gatswaai
Lumber,L U M B E R,lumber,2,10,1,0,0.15,ber,Gatswaai
Lump,L U M P,lump,1,1,1,0,0.25,ump,Gatswaai
Lunar,L U N A R,lunar,2,10,0,0,0.0,nar,Gatswaai
Lunch,L U N K H,lunkh,1,1,1,1,0.33,nch,Gatswaai
Lung,L U N G,lunɡ,1,1,1,0,0.25,ung,Gatswaai
Lunge,L U N G E,lunɡe,1,1,1,0,0.25,nge,Gatswaai
Lurch,L U R K H,lurkh,1,1,1,1,0.33,rch,Gatswaai
Lure,L U R E,lure,1,1,0,0,0.1,ure,Gatswaai
Lurk,L U R K,lurk,1,1,1,0,0.25,urk,Gatswaai
Lush,L U SH,luʃ,1,1,0,2,0.26,ush,Gatswaai
Lust,L U S T,lust,1,1,1,1,0.33,ust,Gatswaai
Lynch,L Y N K H,ljnkh,1,1,1,1,0.33,nch,Gatswaai
Lyric,L Y R I K,ljrik,2,10,1,0,0.15,ric,Gatswaai
Macabre,M A K A B R E,makabre,2,10,2,0,0.3,bre,Gatswaai
Machination,M A K H I N A T I O N,makhination,4,1000,2,1,0.38,tion,Gatswaai
Macro,M A K R O,makro,2,10,1,0,0.15,cro,Gatswaai
Mad,M A D,mad,1,1,1,0,0.25,mad,Gatswaai
Madman,M A D M A N,madman,2,10,1,0,0.15,man,Gatswaai
Mafia,M A F I A,mafia,2,10,0,1,0.08,fia,Gatswaai
Magnet,M A G N E T,maɡnet,2,10,2,0,0.3,net,Gatswaai
Magnitude,M A G N I T U D E,maɡnitude,3,100,3,0,0.45,ude,Gatswaai
Maid,M EY D,meɪd,1,1,1,0,0.25,aid,Gatswaai
Mail,M EY L,meɪl,1,1,0,0,0.1,ail,Gatswaai
Main,M EY N,meɪn,1,1,0,0,0.1,ain,Gatswaai
Maintain,M EY N T EY N,meɪnteɪn,2,10,1,0,0.15,ain,Gatswaai
Major,M A J O R,major,2,10,0,0,0.0,jor,Gatswaai
Maker,M A K E R,maker,2,10,1,0,0.15,ker,Gatswaai
Male,M A L E,male,1,1,0,0,0.1,ale,Gatswaai
Malign,M A L I G N,maliɡn,2,10,1,0,0.15,ign,Gatswaai
Malleable,M A L L E A B L E,malleable,2,10,1,0,0.15,ble,Gatswaai
Mallet,M A L L E T,mallet,2,10,1,0,0.15,let,Gatswaai
Mambo,M A M B O,mambo,2,10,1,0,0.15,mbo,Gatswaai
Mammal,M A M M A L,mammal,2,10,0,0,0.0,mal,Gatswaai
Man,M A N,man,1,1,0,0,0.1,man,Gatswaai
Manacle,M A N A K L E,manakle,2,10,1,0,0.15,cle,Gatswaai
Manage,M A N A G E,manaɡe,2,10,1,0,0.15,age,Gatswaai
Mandate,M A N D A T E,mandate,2,10,2,0,0.3,ate,Gatswaai
Mandolin,M A N D O L I N,mandolin,3,100,1,0,0.15,lin,Gatswaai
Maneuver,M A N E U V E R,maneuver,3,100,0,1,0.08,ver,Gatswaai
Mango,M A N G O,manɡo,2,10,1,0,0.15,ngo,Gatswaai
Mania,M A N I A,mania,2,10,0,0,0.0,nia,Gatswaai
Maniac,M A N I A K,maniak,2,10,1,0,0.15,iac,Gatswaai
Manifest,M A N I F E S T,manifest,3,100,1,2,0.31,est,Gatswaai
Manifold,M A N I F O L D,manifold,3,100,1,1,0.23,old,Gatswaai
Manipulate,M A N I P U L A T E,manipulate,4,1000,2,0,0.3,ate,Gatswaai
Manner,M A N N E R,manner,2,10,0,0,0.0,ner,Gatswaai
Manslaughter,M A N S L A U G H T E R,manslauɡhter,3,100,2,2,0.46,ter,Gatswaai
Manual,M A N U A L,manual,2,10,0,0,0.0,ual,Gatswaai
Manufacture,M A N U F A K T U R E,manufakture,4,1000,2,1,0.38,ure,Gatswaai
Manure,M A N U R E,manure,2,10,0,0,0.0,ure,Gatswaai
Maple,M A P L E,maple,1,1,1,0,0.25,ple,Gatswaai
Mar,M A R,mar,1,1,0,0,0.1,mar,Gatswaai
Marble,M A R B L E,marble,1,1,1,0,0.25,ble,Gatswaai
March,M A R K H,markh,1,1,1,1,0.33,rch,Gatswaai
Margin,M A R G I N,marɡin,2,10,1,0,0.15,gin,Gatswaai
Marine,M A R I N E,marine,2,10,0,0,0.0,ine,Gatswaai
Marker,M A R K E R,marker,2,10,1,0,0.15,ker,Gatswaai
Market,M A R K E T,market,2,10,2,0,0.3,ket,Gatswaai
Marriage,M A R R I A G E,marriaɡe,2,10,1,0,0.15,age,Gatswaai
Mass,M A S S,mass,1,1,0,2,0.26,ass,Gatswaai
Massacre,M A S S A K R E,massakre,2,10,1,2,0.31,cre,Gatswaai
Massage,M A S S A G E,massaɡe,2,10,1,2,0.31,age,Gatswaai
Master,M A S T E R,master,2,10,1,1,0.23,ter,Gatswaai
Masticate,M A S T I K A T E,mastikate,3,100,3,1,0.53,ate,Gatswaai
Mat,M A T,mat,1,1,1,0,0.25,mat,Gatswaai
Match,M A T K H,matkh,1,1,2,1,0.48,tch,Gatswaai
Mate,M A T E,mate,1,1,1,0,0.25,ate,Gatswaai
Material,M A T E R I A L,material,3,100,1,0,0.15,ial,Gatswaai
Maternal,M A T E R N A L,maternal,3,100,1,0,0.15,nal,Gatswaai
Math,M A T H,math,1,1,1,1,0.33,ath,Gatswaai
Matrix,M A T R I X,matrix,2,10,1,0,0.15,rix,Gatswaai
Mattress,M A T T R E S S,mattress,2,10,2,2,0.46,ess,Gatswaai
Mature,M A T U R E,mature,2,10,1,0,0.15,ure,Gatswaai
Maurade,M A U R A D E,maurade,2,10,1,0,0.15,ade,Gatswaai
Maximum,M A X I M U M,maximum,3,100,0,0,0.0,mum,Gatswaai
May,M EY,meɪ,1,1,0,0,0.1,y,Gatswaai
Mayhem,M EY H E M,meɪhem,2,10,0,1,0.08,hem,Gatswaai
Maze,M A Z E,maze,1,1,0,1,0.18,aze,Gatswaai
Meal,M E A L,meal,1,1,0,0,0.1,eal,Gatswaai
Mean,M E A N,mean,1,1,0,0,0.1,ean,Gatswaai
Meander,M E A N D E R,meander,2,10,1,0,0.15,der,Gatswaai
Meaning,M E A N I N G,meaninɡ,2,10,1,0,0.15,ing,Gatswaai
Meant,M E A N T,meant,1,1,1,0,0.25,ant,Gatswaai
Measure,M E A S U R E,measure,2,10,0,1,0.08,ure,Gatswaai
Meat,M E A T,meat,1,1,1,0,0.25,eat,Gatswaai
Mechanic,M E K H A N I K,mekhanik,3,100,2,1,0.38,nic,Gatswaai
Medal,M E D A L,medal,2,10,1,0,0.15,dal,Gatswaai
Medallion,M E D A L L I O N,medallion,3,100,1,0,0.15,ion,Gatswaai
Media,M E D I A,media,2,10,1,0,0.15,dia,Gatswaai
Medical,M E D I K A L,medikal,3,100,2,0,0.3,cal,Gatswaai
Medicate,M E D I K A T E,medikate,3,100,3,0,0.45,ate,Gatswaai
Medicine,M E D I K I N E,medikine,3,100,2,0,0.3,ine,Gatswaai
Medieval,M E D I E V A L,medieval,3,100,1,1,0.23,val,Gatswaai
Mediocre,M E D I O K R E,mediokre,2,10,2,0,0.3,cre,Gatswaai
Medium,M E D I U M,medium,3,100,1,0,0.15,ium,Gatswaai
Medley,M E D L IY,medli,2,10,1,0,0.15,y,Gatswaai
Melancholy,M E L A N K H O L Y,melankholj,4,1000,1,1,0.23,y,Gatswaai
Melody,M E L O D Y,melodj,3,100,1,0,0.15,y,Gatswaai
Melt,M E L T,melt,1,1,1,0,0.25,elt,Gatswaai
Member,M E M B E R,member,2,10,1,0,0.15,ber,Gatswaai
Membrane,M E M B R A N E,membrane,2,10,1,0,0.15,ane,Gatswaai
Memento,M E M E N T O,memento,3,100,1,0,0.15,nto,Gatswaai
Memo,M E M O,memo,2,10,0,0,0.0,emo,Gatswaai
Memory,M E M O R Y,memorj,3,100,0,0,0.0,y,Gatswaai
Men,M E N,men,1,1,0,0,0.1,men,Gatswaai
Mend,M E N D,mend,1,1,1,0,0.25,end,Gatswaai
Mental,M E N T A L,mental,2,10,1,0,0.15,tal,Gatswaai
Mentor,M E N T O R,mentor,2,10,1,0,0.15,tor,Gatswaai
Mercury,M E R K U R Y,merkurj,3,100,1,0,0.15,y,Gatswaai
Mercy,M E R K Y,merkj,2,10,1,0,0.15,y,Gatswaai
Merge,M E R G E,merɡe,1,1,1,0,0.25,rge,Gatswaai
Meridian,M E R I D I A N,meridian,3,100,1,0,0.15,ian,Gatswaai
Merit,M E R I T,merit,2,10,1,0,0.15,rit,Gatswaai
Merry,M E R R Y,merrj,2,10,0,0,0.0,y,Gatswaai
Mesh,M E SH,meʃ,1,1,0,2,0.26,esh,Gatswaai
Mess,M E S S,mess,1,1,0,2,0.26,ess,Gatswaai
Message,M E S S A G E,messaɡe,2,10,1,2,0.31,age,Gatswaai
Metal,M E T A L,metal,2,10,1,0,0.15,tal,Gatswaai
Metaphor,M E T A P H O R,metaphor,3,100,2,1,0.38,hor,Gatswaai
Meter,M E T E R,meter,2,10,1,0,0.15,ter,Gatswaai
Method,M E T H O D,method,2,10,2,1,0.38,hod,Gatswaai
Metric,M E T R I K,metrik,2,10,2,0,0.3,ric,Gatswaai
Metropolis,M E T R O P O L I S,metropolis,4,1000,2,1,0.38,lis,Gatswaai
Mettle,M E T T L E,mettle,1,1,2,0,0.4,tle,Gatswaai
Mid,M I D,mid,1,1,1,0,0.25,mid,Gatswaai
Midst,M I D S T,midst,1,1,2,1,0.48,dst,Gatswaai
Might,M I G H T,miɡht,1,1,2,1,0.48,ght,Gatswaai
Mil,M I L,mil,1,1,0,0,0.1,mil,Gatswaai
Mild,M I L D,mild,1,1,1,0,0.25,ild,Gatswaai
Mile,M I L E,mile,1,1,0,0,0.1,ile,Gatswaai
Militant,M I L I T A N T,militant,3,100,2,0,0.3,ant,Gatswaai
Military,M I L I T A R Y,militarj,4,1000,1,0,0.15,y,Gatswaai
Million,M I L L I O N,million,2,10,0,0,0.0,ion,Gatswaai
Mimic,M I M I K,mimik,2,10,1,0,0.15,mic,Gatswaai
Mind,M I N D,mind,1,1,1,0,0.25,ind,Gatswaai
Mine,M I N E,mine,1,1,0,0,0.1,ine,Gatswaai
Miniature,M I N I A T U R E,miniature,3,100,1,0,0.15,ure,Gatswaai
Minimum,M I N I M U M,minimum,3,100,0,0,0.0,mum,Gatswaai
Minion,M I N I O N,minion,2,10,0,0,0.0,ion,Gatswaai
Minister,M I N I S T E R,minister,3,100,1,1,0.23,ter,Gatswaai
Minor,M I N O R,minor,2,10,0,0,0.0,nor,Gatswaai
Mint,M I N T,mint,1,1,1,0,0.25,int,Gatswaai
Minus,M I N U S,minus,2,10,0,1,0.08,nus,Gatswaai
Minute,M I N U T E,minute,2,10,1,0,0.15,ute,Gatswaai
Miracle,M I R A K L E,mirakle,2,10,1,0,0.15,cle,Gatswaai
Mirror,M I R R O R,mirror,2,10,0,0,0.0,ror,Gatswaai
Mirth,M I R T H,mirth,1,1,1,1,0.33,rth,Gatswaai
Mis,M I S,mis,1,1,0,1,0.18,mis,Gatswaai
Miscast,M I S K A S T,miskast,2,10,2,2,0.46,ast,Gatswaai
Mischief,M I S K H I E F,miskhief,2,10,1,3,0.39,ief,Gatswaai
Miser,M I S E R,miser,2,10,0,1,0.08,ser,Gatswaai
Misery,M I S E R Y,miserj,3,100,0,1,0.08,y,Gatswaai
Miss,M I S S,miss,1,1,0,2,0.26,iss,Gatswaai
Missile,M I S S I L E,missile,2,10,0,2,0.16,ile,Gatswaai
Mission,M I S S I O N,mission,2,10,0,2,0.16,sion,Gatswaai
Mist,M I S T,mist,1,1,1,1,0.33,ist,Gatswaai
Mistake,M I S T A K E,mistake,2,10,2,1,0.38,ake,Gatswaai
Mister,M I S T E R,mister,2,10,1,1,0.23,ter,Gatswaai
Mistress,M I S T R E S S,mistress,2,10,1,3,0.39,ess,Gatswaai
Mitigate,M I T I G A T E,mitiɡate,3,100,3,0,0.45,ate,Gatswaai
Mix,M I X,mix,1,1,0,0,0.1,mix,Gatswaai
Moan,M O A N,moan,1,1,0,0,0.1,oan,Gatswaai
Moat,M O A T,moat,1,1,1,0,0.25,oat,Gatswaai
Mock,M O K K,mokk,1,1,2,0,0.4,ock,Gatswaai
Mode,M O D E,mode,1,1,1,0,0.25,ode,Gatswaai
Model,M O D E L,model,2,10,1,0,0.15,del,Gatswaai
Modem,M O D E M,modem,2,10,1,0,0.15,dem,Gatswaai
Moderate,M O D E R A T E,moderate,3,100,2,0,0.3,ate,Gatswaai
Modern,M O D E R N,modern,2,10,1,0,0.15,ern,Gatswaai
Modest,M O D E S T,modest,2,10,2,1,0.38,est,Gatswaai
Modify,M O D I F Y,modifj,3,100,1,1,0.23,y,Gatswaai
Modular,M O D U L A R,modular,3,100,1,0,0.15,lar,Gatswaai
Moist,M OY S T,mɔɪst,1,1,1,1,0.33,ist,Gatswaai
Molest,M O L E S T,molest,2,10,1,1,0.23,est,Gatswaai
Molecule,M O L E K U L E,molekule,3,100,1,0,0.15,ule,Gatswaai
Moment,M O M E N T,moment,2,10,1,0,0.15,ent,Gatswaai
Monger,M O N G E R,monɡer,2,10,1,0,0.15,ger,Gatswaai
Monster,M O N S T E R,monster,2,10,1,1,0.23,ter,Gatswaai
Month,M O N T H,month,1,1,1,1,0.33,nth,Gatswaai
Mood,M O O D,mood,1,1,1,0,0.25,ood,Gatswaai
Moon,M O O N,moon,1,1,0,0,0.1,oon,Gatswaai
Moral,M O R A L,moral,2,10,0,0,0.0,ral,Gatswaai
Morale,M O R A L E,morale,2,10,0,0,0.0,ale,Gatswaai
More,M O R E,more,1,1,0,0,0.1,ore,Gatswaai
Morning,M O R N I N G,morninɡ,2,10,1,0,0.15,ing,Gatswaai
Moron,M O R O N,moron,2,10,0,0,0.0,ron,Gatswaai
Morph,M O R P H,morph,1,1,1,1,0.33,rph,Gatswaai
Morsel,M O R S E L,morsel,2,10,0,1,0.08,sel,Gatswaai
Mortal,M O R T A L,mortal,2,10,1,0,0.15,tal,Gatswaai
Mortgage,M O R T G A G E,mortɡaɡe,2,10,3,0,0.45,age,Gatswaai
Mosque,M O S Q U E,mosque,1,1,0,1,0.18,que,Gatswaai
Moth,M O T H,moth,1,1,1,1,0.33,oth,Gatswaai
Mother,M O T H E R,mother,2,10,1,1,0.23,her,Gatswaai
Motion,M O T I O N,motion,2,10,1,0,0.15,tion,Gatswaai
Motivate,M O T I V A T E,motivate,3,100,2,1,0.38,ate,Gatswaai
Motive,M O T I V E,motive,2,10,1,1,0.23,ive,Gatswaai
Motor,M O T O R,motor,2,10,1,0,0.15,tor,Gatswaai
Mount,M AW N T,maʊnt,1,1,1,0,0.25,unt,Gatswaai
Mountain,M AW N T EY N,maʊnteɪn,2,10,1,0,0.15,ain,Gatswaai
Mourn,M AW R N,maʊrn,1,1,0,0,0.1,urn,Gatswaai
Mouse,M AW S E,maʊse,1,1,0,1,0.18,use,Gatswaai
Mouth,M AW T H,maʊth,1,1,1,1,0.33,uth,Gatswaai
Move,M O V E,move,1,1,0,1,0.18,ove,Gatswaai
Much,M U K H,mukh,1,1,1,1,0.33,uch,Gatswaai
Muck,M U K K,mukk,1,1,2,0,0.4,uck,Gatswaai
Muddy,M U D D Y,muddj,2,10,2,0,0.3,y,Gatswaai
Mulch,M U L K H,mulkh,1,1,1,1,0.33,lch,Gatswaai
Mule,M U L E,mule,1,1,0,0,0.1,ule,Gatswaai
Mumbo,M U M B O,mumbo,2,10,1,0,0.15,mbo,Gatswaai
Munch,M U N K H,munkh,1,1,1,1,0.33,nch,Gatswaai
Mundane,M U N D A N E,mundane,2,10,1,0,0.15,ane,Gatswaai
Murder,M U R D E R,murder,2,10,1,0,0.15,der,Gatswaai
Murmur,M U R M U R,murmur,2,10,0,0,0.0,mur,Gatswaai
Muscle,M U S K L E,muskle,1,1,1,1,0.33,cle,Gatswaai
Muse,M U S E,muse,1,1,0,1,0.18,use,Gatswaai
Museum,M U S E U M,museum,2,10,0,1,0.08,eum,Gatswaai
Mush,M U SH,muʃ,1,1,0,2,0.26,ush,Gatswaai
Music,M U S I K,musik,2,10,1,1,0.23,sic,Gatswaai
Must,M U S T,must,1,1,1,1,0.33,ust,Gatswaai
Mustard,M U S T A R D,mustard,2,10,2,1,0.38,ard,Gatswaai
Mutate,M U T A T E,mutate,2,10,2,0,0.3,ate,Gatswaai
Mute,M U T E,mute,1,1,1,0,0.25,ute,Gatswaai
Mutiny,M U T I N Y,mutinj,3,100,1,0,0.15,y,Gatswaai
Mutual,M U T U A L,mutual,2,10,1,0,0.15,ual,Gatswaai
Muzzle,M U Z Z L E,muzzle,1,1,0,2,0.26,zle,Gatswaai
Mysophobia,M Y S O P H O B I A,mjsophobia,4,1000,2,2,0.46,bia,Gatswaai
Mystery,M Y S T E R Y,mjsterj,3,100,1,1,0.23,y,Gatswaai
Mystic,M Y S T I K,mjstik,2,10,2,1,0.38,tic,Gatswaai
Myth,M Y T H,mjth,1,1,1,1,0.33,yth,Gatswaai
Naive,N EY V E,neɪve,1,1,0,1,0.18,ive,Gatswaai
Naked,N A K E D,naked,2,10,2,0,0.3,ked,Gatswaai
Name,N A M E,name,1,1,0,0,0.1,ame,Gatswaai
Nameless,N A M E L E S S,nameless,3,100,0,2,0.16,ess,Gatswaai
Nanny,N A N N Y,nannj,2,10,0,0,0.0,y,Gatswaai
Nap,N A P,nap,1,1,1,0,0.25,nap,Gatswaai
Nation,N A T I O N,nation,2,10,1,0,0.15,tion,Gatswaai
Native,N A T I V E,native,2,10,1,1,0.23,ive,Gatswaai
Nature,N A T U R E,nature,2,10,1,0,0.15,ure,Gatswaai
Nautical,N A U T I K A L,nautikal,3,100,2,0,0.3,cal,Gatswaai
Naval,N A V A L,naval,2,10,0,1,0.08,val,Gatswaai
Navel,N A V E L,navel,2,10,0,1,0.08,vel,Gatswaai
Needy,N E E D Y,needj,2,10,1,0,0.15,y,Gatswaai
Negative,N E G A T I V E,neɡative,3,100,2,1,0.38,ive,Gatswaai
Neglect,N E G L E K T,neɡlekt,2,10,3,0,0.45,ect,Gatswaai
Negotiate,N E G O T I A T E,neɡotiate,3,100,3,0,0.45,ate,Gatswaai
Neighborhood,N IY G H B O R H O O D,niɡhborhood,3,100,3,2,0.61,ood,Gatswaai
Neither,N IY T H E R,nither,2,10,1,1,0.23,her,Gatswaai
Neon,N E O N,neon,1,1,0,0,0.1,eon,Gatswaai
Nerve,N E R V E,nerve,1,1,0,1,0.18,rve,Gatswaai
Nervous,N E R V AW S,nervaʊs,2,10,0,2,0.16,ous,Gatswaai
Nest,N E S T,nest,1,1,1,1,0.33,est,Gatswaai
Net,N E T,net,1,1,1,0,0.25,net,Gatswaai
Network,N E T W O R K,network,2,10,2,0,0.3,ork,Gatswaai
Neutral,N E U T R A L,neutral,2,10,1,0,0.15,ral,Gatswaai
Never,N E V E R,never,2,10,0,1,0.08,ver,Gatswaai
New,N E W,new,1,1,0,0,0.1,new,Gatswaai
Newt,N E W T,newt,1,1,1,0,0.25,ewt,Gatswaai
Next,N E X T,next,1,1,1,0,0.25,ext,Gatswaai
Nibble,N I B B L E,nibble,1,1,2,0,0.4,ble,Gatswaai
Nice,N I K E,nike,1,1,1,0,0.25,ice,Gatswaai
Niche,N I K H E,nikhe,1,1,1,1,0.33,che,Gatswaai
Night,N I G H T,niɡht,1,1,2,1,0.48,ght,Gatswaai
Nimble,N I M B L E,nimble,1,1,1,0,0.25,ble,Gatswaai
Nimbus,N I M B U S,nimbus,2,10,1,1,0.23,bus,Gatswaai
Ninja,N I N J A,ninja,2,10,0,0,0.0,nja,Gatswaai
Nitrogen,N I T R O G E N,nitroɡen,3,100,2,0,0.3,gen,Gatswaai
Noble,N O B L E,noble,1,1,1,0,0.25,ble,Gatswaai
Nobly,N O B L Y,noblj,2,10,1,0,0.15,y,Gatswaai
Nobody,N O B O D Y,nobodj,3,100,2,0,0.3,y,Gatswaai
Nocturne,N O K T U R N E,nokturne,2,10,2,0,0.3,rne,Gatswaai
